"nama_silver","nama_dim_dosen","prodi","fakultas","judul_proposal","sitasi","doi","jurnal","jurnal_kategori","tanggal_terbit_hari","tanggal_terbit_bulan","tanggal_terbit_tahun"
"Hadi Teguh Yudistira.","","TEKNIK MESIN","FAKULTAS TEKNOLOGI INDUSTRI","CO2 hydrogenation to HCOOH on PdZn surface and supported PdZn Cluster: A Comparative DFT study","1","https://doi.org/10.1016/j.apsusc.2024.162095","JURNAL INTERNASIONAL Q1","INTERNASIONAL","15","3","2025"
"Harlina Ardiyanti, M.sc.","","FISIKA","FAKULTAS SAINS","Eco-friendly TiO2-doped Fe3O4/rGO nanocomposites synthesized using plant extracts for photodegradation of organic dye","1","","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","0","0"
"Harry Yuliansyah.","","TEKNIK ELEKTRO","FAKULTAS TEKNOLOGI INDUSTRI","Teknologi Hijau dalam Industri Pangan","1","","BUKU","LAINNYA","0","0","2025"
"Hermon Frederik Tambunan, S.t., M.t.","","TEKNIK SIPIL","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Statistical Approach of Additive Effect on Volumetric Characteristics of Asphalt Mixtures","1","","PROSIDING INTERNASIONAL","INTERNASIONAL","0","2","2025"
"Iffa Afiqa Khairani.","","BIOLOGI","FAKULTAS SAINS","Phytochemical Compound, Antioxidant and Antibacterial Properties of Sargassum sp. Extracts from Pahawang Island, Lampung Province","1","","SINTA 3","NASIONAL","0","3","2025"
"Ig Andirasdini, A Sofia, M Rivai, D Mahrani, T Yulita, Se Irwan.","","SAINS AKTUARIA","FAKULTAS SAINS","Literasi Pemanfaatan Software JASP Untuk Meningkatkan Keterampilan Statistik Guru di MAN 1 Bandar Lampung","2","","JURNAL NASIONAL","NASIONAL","0","0","0"
"Intan Mardiono.","","TEKNIK INDUSTRI","FAKULTAS TEKNOLOGI INDUSTRI","Experimental and Numerical Investigation of Porosity Characteristics on the Variability in Mechanical Properties of High-Pressure Die Casting (HPDC) AlSi12MgMn Alloys of the &#8230;","1","","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","6","2025"
"Intan Mardiono.","","TEKNIK INDUSTRI","FAKULTAS TEKNOLOGI INDUSTRI","ANN-enhanced determination and numerical model integration of activation energy and Zener–Hollomon parameter to evaluate microstructure evolution of AA6082 wheel forging","1","","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","10","2025"
"Isye Susana Nurhasanah.","","PARIWISATA","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","Youth engagement in ecotourism and community-based development: experiences and lessons from Pahawang Island, Indonesia","1","https://doi.org/10.1080/14724049.2025.2507876","JURNAL INTERNASIONAL Q1","INTERNASIONAL","0","5","2025"
"Iwan Saputra Agusman, Iswahyudi.","","REKAYASA KOSMETIK","FAKULTAS TEKNOLOGI INDUSTRI","AUTOMATIC PALM COUNTING DENGAN METODE TEMPLATE MATCHING (STUDI KASUS DI UNIVERSITAS SAMUDRA)","1","","SINTA 3","NASIONAL","1","1","2025"
"Jabosar Ronggur Hamonangan Panjaitan.","","TEKNIK FISIKA","FAKULTAS TEKNOLOGI INDUSTRI","KINETIC AND TECHNO-ECONOMIC EVALUATION OF BACTERIAL CELLULOSE PRODUCTION FROM PAPAYA PEEL","6","https://doi.org/10.11113/aej.V15.22066","JURNAL INTERNASIONAL Q4","INTERNASIONAL","0","3","2025"
"Jatmiko Eko Witoyo.","","TEKNOLOGI INDUSTRI PERTANIAN","FAKULTAS TEKNOLOGI INDUSTRI","Effect of Adding Different Active Substances on Inhibition Zone Diameter and Microstructural Properties of Composite Bioplastics","1","","SINTA 3","NASIONAL","0","1","2025"
"Jatmiko Eko Witoyo.","","TEKNOLOGI INDUSTRI PERTANIAN","FAKULTAS TEKNOLOGI INDUSTRI","Kajian Potensi Tepung Umbi Uwi Ungu (Dioscorea alata) Asal Kalimantan Barat sebagai Kandidat Bahan Baku Pembuatan Bioplastik","1","https://doi.org/10.30997/jiph.v7i1.16099","SINTA 4","NASIONAL","17","3","2025"
"Joko Nugroho.","","REKAYASA TATA KELOLA AIR TERPADU","FAKULTAS TEKNOLOGI INDUSTRI DAN KEWILAYAHAN","ANALYSIS OF SEDIMENT CHARACTERISTICS AND FLOW DYNAMICS AFTER NORMALIZATION OF THE CITARUMMAJALAYA RIVER IN INDONESIA","2","https://doi.org/10.1016/j.rineng.2025.106943","JURNAL INTERNASIONAL Q3","INTERNASIONAL","0","0","0"
"Khairurrijal.","","FISIKA","FAKULTAS SAINS","Investigating the Physical Characteristics of Starch/Gelatin Hydrogels using Freezing-Thawing Method","6","","JURNAL INTERNASIONAL","INTERNASIONAL","0","0","0"
"Khansa Salsabila Suhaimi.","","TEKNIK ELEKTRO","FAKULTAS TEKNOLOGI INDUSTRI","PENERAPAN SISTEM AUTOMASI PEMBERIAN PAKAN PADA BUDIDAYA LELE METODA BIOFLOK DI DESA WAY HUI KECAMATAN JATI AGUNG","1","https://doi.org/10.31970/abditani.v8i1.350","SINTA 4","NASIONAL","0","0","0"
"Leslie Anggraini, S.kom., M. Cs.","","TEKNIK INFORMATIKA","FAKULTAS TEKNOLOGI INDUSTRI","Evaluasi Logistic Regression dan Neural Network pada Klasifikasi Gagal Jantung Berbasis Threshold","2","","SINTA 4","NASIONAL","0","6","2025"
